"Table 1. Total Personal Consumption Expenditures by State and Region, 2017-2019",,,,,
,Millions of dollars,,,Percent change,
,2017,2018,2019,2018,2019
United States1,13333394,13982899,14533254,4.9,3.9
New England,745154,776001,801416,4.1,3.3
Connecticut,182612,189857,195327,4,2.9
Maine,58853,61593,63650,4.7,3.3
Massachusetts,359649,374378,387570,4.1,3.5
New Hampshire,68532,71592,74220,4.5,3.7
Rhode Island,46363,48316,49838,4.2,3.2
Vermont,29146,30265,30811,3.8,1.8
Mideast,2318710,2430045,2522773,4.8,3.8
Delaware,41177,43189,44625,4.9,3.3
District of Columbia,42316,44692,46122,5.6,3.2
Maryland,270119,279172,287344,3.4,2.9
New Jersey,445135,464136,481554,4.3,3.8
New York,972365,1024997,1067808,5.4,4.2
Pennsylvania,547598,573859,595321,4.8,3.7
Great Lakes,1883936,1960162,2017107,4,2.9
Illinois,547169,569241,585415,4,2.8
Indiana,244452,255050,263533,4.3,3.3
Michigan,390669,405619,417615,3.8,3
Ohio,467461,485588,499203,3.9,2.8
Wisconsin,234185,244664,251341,4.5,2.7
Plains,852979,888454,914838,4.2,3
Iowa,117647,121567,124070,3.3,2.1
Kansas,106677,110355,113323,3.4,2.7
Minnesota,245242,257729,265958,5.1,3.2
Missouri,236320,245282,253348,3.8,3.3
Nebraska,75922,78744,80838,3.7,2.7
North Dakota,33919,35493,36504,4.6,2.8
South Dakota,37250,39283,40798,5.5,3.9
Southeast,3059166,3208942,3335205,4.9,3.9
Alabama,161137,167799,174016,4.1,3.7
Arkansas,98123,102266,105702,4.2,3.4
Florida,835407,882110,923931,5.6,4.7
Georgia,371696,389976,404264,4.9,3.7
Kentucky,151945,157587,162390,3.7,3
Louisiana,162049,168095,173167,3.7,3
Mississippi,90720,94128,96217,3.8,2.2
North Carolina,351686,371704,389095,5.7,4.7
South Carolina,170139,178613,185731,5,4
Tennessee,234704,247061,256657,5.3,3.9
Virginia,368824,384556,397231,4.3,3.3
West Virginia,62735,65047,66803,3.7,2.7
Southwest,1520103,1603858,1671602,5.5,4.2
Arizona,250737,264431,276910,5.5,4.7
New Mexico,72885,76159,77913,4.5,2.3
Oklahoma,130757,136896,140938,4.7,3
Texas,1065724,1126372,1175841,5.7,4.4
Rocky Mountain,477334,505362,530738,5.9,5
Colorado,240438,253730,266988,5.5,5.2
Idaho,59947,63585,66448,6.1,4.5
Montana,41484,43539,45316,5,4.1
Utah,111774,119867,126681,7.2,5.7
Wyoming,23692,24640,25305,4,2.7
Far West,2476013,2610076,2739575,5.4,5
Alaska,34857,36015,37090,3.3,3
California,1759402,1852976,1947590,5.3,5.1
Hawaii,64057,67372,69993,5.2,3.9
Nevada,121792,128260,132958,5.3,3.7
Oregon,167214,176483,184344,5.5,4.5
Washington,328691,348970,367599,6.2,5.3
